Francais,Nufi
Je n'en ai pas besoin.,Yāā sǐ' mfɑ́' sə̀ə̄wú mbú á bɑ̄. Yāā sǐ' nkōsī á nɑ́ sə̀ə̄wú bɑ̄.
Ta mère a une voiture?,Mɑ̄ é ghʉ̌ ndʉ̄' ʉ́?
"Non, elle n'a pas de voiture. Elle est pauvre.","Ngǎ', à kɑ̀' ghʉ́ ndʉ̄'. Ǎ mɑ́ mbōk/ngà'mbōk."
Ne t'en fais pas.,Ǒ sì cə̄ə̄.
Aimes-tu l'école?,Ǒ kwě' nǔ ŋwɑ̀'nì í?
Je n'aime pas aller à l'école; cette histoire est très difficile.,Ǹ sǐ' nkwé' làh ngén ŋwɑ̀'nì bɑ̄; báá wú ngɑ́' tɑ̀'.
As-tu des frères et sœurs?,Ǒ ghʉ̌ póómɑ̄ ɑ́?
Combien de sœurs as-tu?,Ǒ ghʉ̌ póómɑ̄ pʉ̌nzhwīē sʉ̄'ʉ̄?
Combien de frères as-tu?,Ǒ ghʉ̌ póómɑ̄ pōōmbā' sʉ̄'ʉ̄?
J'ai un frère.,Ngɑ̌ ghʉ̌ tɑ̀' mēmmɑ̄ yì mbâ'.
Mon frère s'appelle Cīēncə̄ə̄.,Zén mēmmɑ̄ ò mbá' mɑ́ Cīēncə̄ə̄.
J'ai deux frères et une sœur.,Ngɑ̌ ghʉ̌ póómɑ̄ pōōmbā' pʉ́ɑ́ mbát ngʉ́ mēmmɑ̄ mʉ̀nzhwīē nshʉ̀'.
Ma sœur s'appelle Púángāp.,Zén mēmmɑ̄ ò mʉ̀nzhwíé mɑ́ Púángāp.
"Je n'ai aucun frère, je suis enfant unique.","Ǹ kɑ̀' ghʉ́ sə̀ə̄ mēmmɑ̄, ngɑ̌ mɑ́ nshwìè mōō."
Y a-t-il des animaux chez vous?,Nə̀ə́ mbɑ̄ mbèé pěn?
Vous élevez des animaux?,Pěn nnāk nə̀ə̀ ə́?
Nous élevons des chèvres.,Pɑ̌h nnāk mvī.
Nous élevons des poules.,Pɑ̌h nnāk ngāp.
Avez-vous un chien?,Pěn ghʉ̌ mvʉ̄ɑ̄ ɑ́?
Oui! Nous avons un chien.,Ŋ̄h! Pɑ̌h ghʉ̌ tɑ̀' mvʉ̄ɑ̄.
J'ai aussi un chat.,Mbɑ̀ mʉ̀ ngɑ̌ ghʉ̌ ngòòndōm. Mbɑ̀ mʉ̌ ghʉ̌ tɑ̀' ngòòndōm.
Je n'aime pas le chat.,Ǹ kɑ̀' kwé' ngòòndōm(bɑ̄).
As-tu peur du chien?,Ǒ mbōh mvʉ̄ɑ̄ ɑ́?
Je déteste le chien.,Ngɑ̌ mbéé mvʉ̄ɑ̄.
Qui est ta mère?,Mɑ̄ é mɑ́ wɑ̄?
Comment s'appelle ta mère?,Zén mɑ̄ é mɑ́ wɑ̄?
Ma mère s'appelle Kouemo.,Zén mɑ̄vǒ mɑ́ Nkwèèmōō.
Comment s'appelle ton enseignant?,Zén nsìènsì ǒ mɑ́ wɑ̄?
Mon enseignant s'appelle monsieur Ngatcheu.,Zén nsìènsì ǎ mɑ́ mbɑ̄' Ngǎ'ncə̄ə̄.
Mon enseignante s'appelle madame Deukam.,Zén nsìènsì ǎ mɑ́ mɑ̄vǒ Ndə̀ə̄nkām.
Dans quel pays vis-tu?,Ǒ nsī mɑ̀ nɑ́ yàā lɑ̄'?
J'habite aux Etats Unis d'Amérique.,Ngɑ̌ nsī mɑ̀ ntám Kwèēlɑ́' Āmērīkà.
Dans quelle ville habites-tu?,Ǒ nsī mɑ̀ nɑ́ yàā tūsè'?
J'habite à Dschang.,Ngɑ̌ nsī mɑ̀ Cà'.
De qui es-tu l'enfant?,Ǒ mɑ́ mên wɑ̄?
Qui est ton père?,Mbɑ̄' é mɑ́ wɑ̄?
Comment s'appelle ton père?,Zén mbɑ̄' é mɑ́ wɑ̄?
Mon père s'appelle Djiadeu.,Zén mbɑ̄' ó mɑ́ Zhìāndə̀ə̀.
Avez-vous une radio?(A une seule personne),Ǒ ghʉ̌ mbǔ'nkěn?
Écoutes-tu souvent la radio?,Ǒ ngʉ́ njū' mbǔ'nkěn?
J'écoute la radio chaque jour.,Ngɑ̌ njū' mbǔ'nkèn nkwèè līē'.
Je n'écoute pas la radio.,Ǹ sǐ' njū' mbǔ'nkèn bɑ̄.
En quelle classe es-tu?,Ǒ nɑ́ yàā ndʉ̄ɑ̀ŋwɑ̀'nì?
Je suis en quatrième année de l'école primaire.,Ngɑ̌ nɑ́ ndʉ̄ɑ̀ kwɑ̌ nɑ́ ntūmbhì wǎ'ŋwɑ̀'nì.
Je ne vais plus à l'école.,Ǹ sǐ' nját ngén ŋwɑ̀'nì bɑ̄.
Es-tu marié?,Ǒ lə́ə́ndʉ̄ɑ̄ ɑ́?
"Oui, je suis déjà marié.","Ŋ̄h, ngɑ̌ yá' lə̄ə̄ndʉ̄ɑ̄."
"Non, je ne suis pas encore marié(e).","Ngǎ', ǹ njǎt sì lə̄ə̄ndʉ̄ɑ̄(bɑ̄). Ngǎ', ǹ njǎt sì tɑ̄ ndə̄ə̄ ndʉ̄ɑ̄(bɑ̄)."
Je suis encore célibataire.,Ǹ njǎt mɑ́ nshwìèwèn.
Je suis divorcé(e).,Ngɑ̌ tóm lə́ə́ndʉ̄ɑ̄.
Où as-tu grandi?,Ò lɑ̀shwí mɑ̀ hɑ̄?
J'ai grandi au village.,Ǹ dɑ̀shwí mɑ̀ mbèè.
Je n'ai pas grandi avec mes parents.,Ǹ dɑ̀ sì shwī pí mbɑ̄' ō mbɑ̀ mɑ̄vǒ.
Où habites-tu?,Ǒ nsī mɑ̀ hɑ̄?
Je suis un(e) villageois(e).,Ngɑ̌ mɑ́ nsîmbèè.
Où iras-tu pendant les vacances?,Ǒ ìngén hwīēsì mɑ̀ hɑ̄?
J'irai en vacances à Douala.,Ngɑ̌ ìngén hwīēsǐ ɑ́ Ndùālə̄ə̄.
Quel genre de jeu aimes-tu?,Yàā ntīē sʉ̀ɑ̀ tɑ́ ó nkwé' ē?
Quel est ton passe-temps? Quel est ton hobby?,Yò wúpíéndɑ̌h mɑ́ kɑ́?
Mon passe-temps c'est écouter de la musique.,Yà wúmǒ mɑ́ làh njū' yɔ̌nshì.
J'aime courir; j'aime la course à pied.,Ngɑ̌ nkwé' làh nkhʉ́ɑ́ndʉ̄ɑ̄; ngɑ̌ kwě' nkhǔndʉ́ɑ́ nkhù.
Je n'ai aucun loisir/hobby.,Ǹ kɑ̀' ghʉ́ sə̀ə̄ wúpíéndɑ̀h.
Aimes-tu danser?,Ǒ kwě' làh nzēnshì í?
Aimes-tu écouter de la musique?,Ǒ nkə́' làh njū' yɔ̌nshì í?
Aimes-tu la lecture?,Ǒ kwě' céhwū ú?
Aimes-tu la nage/natation?,Ǒ kə̌' náhnshì í?
Aimes-tu nager?,Ǒ nkwé' làh nnāhnshì í?
Je n'aime pas la nage.,Ǹ kɑ̀' kwé' náhnshì(bɑ̄).
"Oui, j'aime la nage, mais je ne sais pas nager.","Ŋ̄h! Ngɑ̌ kwě' náhnshì, tɑ́' ǹ kɑ̀' zhī làh nnāhnshì."
Aimes-tu le sport?,Ǒ kwě' sʉ̀ɑ̄mfʉ̀'nā á?
J'aime tellement le sport.,Ngɑ̌ kwě' sʉ̀ɑ̄mfʉ̀'nā tɑ̀ mbʉ́ɑ́ lɑ̀ bɑ̄.
Aimes-tu les enfants?,Ǒ kwě' pʉ̄nkhʉ̄ɑ̄ ɑ́?
J'aime tellement les enfants.,Ngɑ̌ nkwé' pʉ̄nkhʉ̄ɑ̄ tɑ̀ kēēmbʉ̄ɑ̄.
Aimes-tu les vacances?,Ǒ kwě' ntìè' ē hwīēsì í?
"Non, je suis un accro au travail.","Ngǎ', ngɑ̌ mɑ́ mfɑ̀'ndīēkò."
Quel genre de musique aimes-tu?,Yàā ntīē yɔ̌nshì tɑ́ ó nkwé' ē?
J'aime le Madjong-Lali.,Ngɑ̌ kwě' Mɑ̂njwè'-Lālī.
Quel est ton chanteur préféré?,Yàā njɔ̀nshì tɑ́ ó nkwé' nshʉ́ɑ́ zìmó' ō?
Préférer.,Nkwé' nshʉ́ɑ́(mò').
Je préfère le couscous manioc au couscous maïs.,Ngɑ̌ nkwé' nkòmnkòm nshʉ́ɑ́ nsā'.
J'aime le poisson braisé plus que le rôti de viande.,Ngɑ̌ nkwé' tòō mbɑ̀ɑ̄nshì nshʉ́ɑ́ yì mbɑ̀ɑ̀.
Quel est ton repas préféré?,Yàā ntīē wúzɑ̄ tɑ́ ó nkwé' nshʉ́ɑ́ zìmó' ō?
Mon repas préféré est le couscous manioc avec la sauce pistache.,Wúzɑ̄ yì ngɑ̌ nkwé'(tɑ̀) nshʉ́ɑ́ zìmó' lɑ́ mɑ́ nkòmnkòm nɑ̂' nzhʉ̀'.
Quelle est ta profession?,Yò túmfɑ̌' mɑ́ kɑ́?
Je suis étudiant informatique.,Ngɑ̌ mɑ́ ngà'ŋwɑ̀'nǐ nɑ́ zhínǔsāhndó'.
Je suis un chercheur.,Ngɑ̌ mɑ́ tɑ̀' ncâkngà'.
Regardes-tu souvent la télévision?,Ǒ ngʉ́/nnēē njīī mbǔ'nkěn-yīīsì í?
"Non, pas du tout! Regarder la télévision est une perte de temps.",Ngǎ' nā à! Làh njīī mbǔ'nkěn-yīīsǐ mɑ́ píéndɑ̀h.
Sais-tu cuisiner?,Ǒ zhí làh ndə̄ə̄/nā' wúzɑ̄ ɑ́?
Je ne suis pas une femme.,Ǹ sī mɑ́ mʉ̀nzhwīē bɑ̄.
Chez nous ce sont les femmes qui cuisinent.,Yáá mbɑ̄ wú pɑ̀h pʉ̌nzhwīē bɑ̄ mɑ̄ndə̄ə̄ wúzɑ̄.
"Oui, je sais cuisiner.",Ŋ̄h ngɑ̌ zhí làh ndə̄ə̄/nā' wúzɑ̄.
Quel genre de plat sais-tu cuisiner?,Yàā ntīē wúzɑ̄ tɑ́ ó zhī làh ndə̄ə̄ ə̄?
Je peux préparer tout genre de mets.,Pɑ́ ǹ ndə̄ə̄/nnā' nkwèè ntīē zúzɑ̄.
Sais-tu conduire?,Ǒ zhí làh mfák ndʉ̄' ʉ́?
Oui j'ai un permis de conduire.,Ŋ̄h! Ngɑ̌ ghʉ̌ ŋwɑ̀'nǐkóntá' làh mfákndʉ̄'.
"Non, je n'ai pas encore de permis de conduire.","Ngǎ', ǹ njǎt sì tɑ̄ ngʉ́ ŋwɑ̀'nǐ làh mfákndʉ̄'."
Je n'ai pas encore de l'argent pour faire ça.,Ǹ njǎt sì ghʉ̌ nkɑ̄ɑ̄ làh ngʉ́ yāā.
Ton père a une voiture?,Mbɑ̄' é ghʉ̌ ndʉ̄' ʉ́?
Mon père n'aime pas la voiture.,Mbɑ̄' ō sǐ' nkwé' ndʉ̄' bɑ̄.
"Mon père est un pauvre, par conséquent, il n'a pas la voiture.","Mbɑ̄' ó mɑ́ ngà'mbōk, fà'á lɑ́, à kɑ̀' ghʉ́ ndʉ̄' bɑ̄."
"Mon père n'a pas d'argent, c'est pour ça qu'il n'a pas la voiture.","Mbɑ̄' ō kɑ̀' ghʉ́ nkɑ̄ɑ̄ bɑ̄, nǔ yāā tɑ́ á kɑ̀' ghʉ́ ndʉ̄' bɑ̄."
Y a-t-il des souris chez vous?,Cwǎkhǔ mbɑ̄ mbèé pěn?
Non il n'y a aucune souris chez nous.,Ngǎ'! Cwǎkhù sǐ' mbɑ̄ mbèé pɑ̀h bɑ̄.
"Oui, il y a des souris chez nous.",Ŋ̄h! Cwǎkhǔ mbɑ̄ mbèé pɑ̀h.
"La nuit tombe déjà, il faut que je parte.",Njǎm yá' mɑ̄ngwɑ́. Yáá ncāk mɑ́ ń nshʉ̀ɑ̀/ngènɑ̀!
"Il n'y a pas de problème mon frère/ma sœur, au revoir.","Ncà' sī wū bɑ̄ mēmmɑ̄ ò, ôhó."
Chapitre 2. Salutations et accueil.,Nzâknù 2. Cɑ̀'sì pí mbʉ́ɑ́ lǎh wèn.
"Sans les salutations, la cohésion familiale disparaît. À la fin de ce chapitre, vous serez en mesure de saluer les gens correctement en langue fè'éfě'è.","Ndʉ̄ɑ̀ sì cɑ̀'sì lɑ̀píé. Ò yéé mēmmɑ̄ è, ǒ sì táh sì lēn mbú í mɑ́ mbə̄ə̄ lɑ́ mēmmɑ̄ ò, nzɑ́ lēē è sēn à? Ǒ vɑ́h yō ò mɑ̄? Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ncɑ́'sí wèn."
Bienvenue!,Sɑ̌' pə̀pē'/mbə̀pə̄'! Sɑ̀' mbə̄ə̄!
"Merci mon frère, ma sœur.",Ngɑ̌ pén ō mēmmɑ̄ ò!
Bienvenue mon père!,Sɑ̌' mbə̀pə̄' lɑ́ mbɑ̄' ō!
Bienvenue maman!,Sɑ̀' mbə̄ə̄ lɑ́ mɑ̄!
Merci mon enfant.,Ngɑ̌ pén ō mēn à!
Soyez les bienvenus!(A plusieurs personnes),Pèn sɑ́' pə̀pē'! Pèn sɑ́' mbə̄ə̄!
Nous vous remercions.,Pɑ̌h pén yēē.
Bonjour!,Nzɑ́ lēē è?
Bonjour!(Réponse au bonjour),Yáá lēē zǐ. Ǎ léé yī.
Bonjour à toi!,Nzɑ́ lēē mbú ò? Yò nzɑ́ lēē è?
Bonjour à tous!,Nzɑ́ lēē mbí pèn? Yèè nzɑ́ lēē è?
Bonjour!(Réponse au bonjour quand plusieurs personnes répondent.),Yáá lēē zǐ. Ǎ léé yī. Yòh nzɑ́ lēē.
Bonjour ma femme.,Nzɑ́ lēē è nzhwīē à?
Bonjour mon mari.(Réponse au bonjour. Une femme à son mari.),Yáá lēē zǐ ndū à.
Bonjour mes frères et sœurs.,Nzɑ́ lēē è póómɑ̄ ō?
Bonjour mon ami.,Nzɑ́ lēē è sēn à?
Salut!,Mbə̄ə̄ lɑ́!
"Salut mon frère, ma sœur!",Mbə̄ə̄ lɑ́ mēmmɑ̄ ò!
Salut mes frères.,Pèn pə̄ə̄ lɑ́ póómɑ̄!
Salut ma grand-mère.,Mbə̄ə̄ lɑ́ mɑ̄vǒ ndāmɑ̀!
Je te salue.,Ngɑ̌ cɑ̀'sì ō lɑ́!
Je te salue aussi.,Mbɑ̀ mʉ̀ ngɑ̌ cɑ̀'sì ō lɑ́!
"Je te salue, mon aîné(e).",Ngɑ̌ cɑ̀'sì ō lɑ́ ngà'mbhǐ à.
"Je te salue aussi mon cadet, ma cadette.",Mbɑ̀ mʉ̀ ngɑ̌ cɑ̀'sì ō lɑ́ ngà'njǎm à.
Je vous salue mes frères et sœurs.,Ngɑ̌ cɑ̀'sì yēē lɑ́ póómɑ̄/mfátmfāt!
Je vous salue mes mamans!,Ngɑ̌ cɑ̀'sì yēē lɑ́ pɑ̀mɑ̄ pǎ!
Quoi de neuf? Litt. quelles sont les nouvelles?,Cwè'/cə̀' mɑ́ kɑ́?
Rien de neuf. Tout est vieux; litt. les nouvellesse sont refroidies.,Cwě'/cə̌' hwíé/shwíé
Quelles sont les nouvelles de la famille?(Litt. de la maison),Cwè' mbèè mɑ́ kɑ́?
Tout le monde va bien à la maison.,Cwè'/cə̀' mbèé hwíé/shwíé.
"Bonne matinée à toi mon frère, ma sœur.",Mbè'mbè' fɑ́hnzɑ́ mbú ó lɑ́ mēmmɑ̄ ò.
"A toi aussi mon frère, ma sœur.",Mbɑ̌ mbú ó yǒ lɑ́ mēmmɑ̄ ò.
"Bonne soirée à toi mon frère, ma sœur.",Mbè'mbè' mbūànzɑ́ mbú ó lɑ́ mēmmɑ̄ ò.
Bonne nuit!,Dīē pə̀pē'/mbə̀pə̄'!
Bonsoir!,Ǒ vɑ́h yō ò? Mbè'mbè' mbūànzɑ̄ lɑ́.
Bonsoir maman!,Ǒ vɑ́h yō ò mɑ̄? Mbè'mbè' mbūànzɑ̄ lɑ́ mɑ̄.
Comment ça va?,Yáá mɑ̀ lāhā? Ǒ mɑ̀ lāhā?
"Ça va bien, merci.","Yáá mɑ̀nnák, ngɑ̌ pén ō."
Et toi?,Wò yō lɑ́ ō?
"Je suis en santé, merci.","Ngɑ̌ ntèn, ngɑ̌ pén ō."
Ça ne va pas.,Yāā sī mɑ̀nnák bɑ̄.
Comment vas-tu aussi?,Ǒ yō mɑ̀ lāhā?
Couci-couça [Litt. Je suis aussi-là].,Ngɑ̌ yǎ síé lè.
Couci-couça [Litt. Les choses sont juste une certaine quantité].,Nǔ mɑ́ mó' mvàk.
Comment allez-vous?(À plusieurs personnes),Pěn mɑ̀ lāhā?
Comment va ta famille?,Těndʉ̄ɑ̄ ó mɑ̀ lāhā? Yò těndʉ́ɑ́ mɑ̀ lāhā?
Comment vont les enfants?,Pʉ̄nkʉ́ɑ́ mɑ̀ lāhā?
Comment vont tes enfants?,Pōō mbǒ mɑ̀ lāhā?
Comment vont tes parents?,Mbɑ̄' ē pí mɑ̄ é mɑ̀ lāhā?
Ils sont tous en santé. Personne n'a un souci de santé.,"Pó ntèn wǎ', pó shwītōk. Sə̀ə̄wū sī mɑ̀ngʉ́ wèn bɑ̄."
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. c'est aussi-là comme ça.]",Yáá yǐ fà'á lɑ́.
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. une chose de grave ne s'est pas produite.]",Mǒ' ghɑ̀' nù kɑ̀' tōm.
"Couci-couça, comme ci, comme ça, ni bien ni mal. [Litt. on tombe et se relève.]",Wěn mɑ̀ntāmsīē mɑ̄ndó.
"Je ne suis pas en santé, je suis malade.","Ǹ sī ntèn bɑ̄, ngɑ̌ mɑ̀ngóó."
Je suis en santé.,Ngɑ̌ ntèn.
Je te remercie.,Ngɑ̌ pén ō.
Bonsoir mes frères et sœurs!,Pěn vɑ́h yēē è póómɑ̄ ō?
Bonsoir! [Réponse à pěn vɑ́h yēē è?],Pɑ̌h vɑ́h yǒh.
Merci mon fils/merci ma fille.,Ngɑ̌ pén ō mēn à.
Nous te remercions beaucoup.,Pɑ̌h pén ō tɑ̀'.
Restez en paix.,Pèn sī mɑ̀ mbūànì(lɑ́ mbɑ̀).
Restez bien.,Pèn sī pə̀pē'(lɑ́ mbɑ̀).
Restons bien.,Pɑ́h á pèn sī mbə̀pə̄' lɑ́ mbɑ̀.
Soyez les bienvenus! [A plusieurs personnes],Pèn sɑ́' mbə̀pə̄'/pə̀pē'!
Vous avez fait bonne route? [A plusieurs personnes],Tɑ̀ pěn còh nnák pə̀pē' è/mbə̀pə̄' ə̀?
Chapitre 3. Dire au revoir.,"Nzâknù 3. Dì'sì, ndí'sí."
"Le savoir-vivre voudrait qu'il ne faut jamais partir d'un lieu sans dire au revoir. À la fin de ce chapitre, vous serez en mesure de dire au revoir en langue fè'éfě'è.","Zhímbʉ́ɑ́ ndēn mɑ́, ò lí' lǒ nɑ́ tɑ̀' zʉ̌' ɑ́ shʉ̀ɑ̀, ǒ sì nʉ́ɑ́ sì cwě' nkǎb nɑ́ wèn. Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh ndí'sí wèn."
"A bientôt, à tout à l'heure!",Tɑ̀ mêndɑ̀'(lɑ́ mbɑ̀)!
A bientôt! [Réponse],Tɑ̀ mêndɑ̀' lɑ́!
A ce soir.,"Tɑ̀ mbūànzɑ̄(lɑ́ mbɑ̀), tɑ̀ mbūànzɑ́ è."
A ce soir. [Réponse],Tɑ̀ mbūànzɑ̄ lɑ́.
A demain!,Tɑ̀ wāhà! ɑ́ nzɑ̄ lēē lɑ́ mbɑ̀.
A demain! [Réponse],Tɑ̀ wāhà lɑ́! ɑ́ nzɑ̄ lēē lɑ́.
"A quand, le prochain rendez-vous?",Pɑ̀h pát njīīsī sēnɑ̄ ɑ̄?
Revoyons-nous après-demain.,Pɑ̀h pát njīīsī njàmnzɑ̄ wāhà.
A la prochaine!,Tɑ̀ mó' līē'(lɑ́ mbɑ̀)!
"A la prochaine, si Dieu le veut.","Tɑ̀ mó' līē' lɑ́, yì mɑ̀ Síé pēn lɑ́."
Au revoir.,Ôhó!
Bonne nuit!,Dīē mbə̀pə̄'/pə̀pē'.
Fais de beaux rêves.,"Yīī mbè' nzhʉ̀ʉ̀, yīī nzhʉ̀ʉ̄ mbʉ̄ʉ̄."
Marche bien!,Na᷅k mbə̀pə̄'/pə̀pē'.
Que Dieu t'accompagne.,ɑ́ yēē pí Nshʉ̀ɑ̀pʉ̀ Sīē nák. ɑ́ Nshʉ̀ɑ̀pʉ̀ Sīē nák pí wò.
Que les ancêtres t'accompagnent.,ɑ́ yēē píá pɑ̀mfhʉ́sīē nák.
Chapitre 4. Poser les questions.,Nzâknù 4. Mbʉ́ɑ́ làh nté'sí nù.
"Si tu ne sais pas, demande! Mais l'extrême curiosité peut s'avérer fatale. À la fin de ce chapitre, vous serez en mesure de poser les questions en langue fè'éfě'è.","Ò sǐ' nzhī wū bɑ̄, ò tē'sî! Tɑ́', nɑ́h ntè'zɑ̄h lɑ̀có tììmōh. Ǒ ìndī' měh béé sìèsì lè mɑ̀ ǒ còh nzhī làh nté'sí nǔ mbí wèn mɑ̀ ghə̀ə̄ fè'éfě'è."
Où est l'enfant?,Móó mɑ̀ hɑ̄?
Il est dans la chambre.,Ǎ mɑ̀ ntámndʉ̄ɑ̄.
Il n'est pas là-bas.,À sī mʉ̀ bɑ̄.
Ah bon?,Fà'á á? Ndéndēē é?
"Dans ce cas, elle est au salon.",Ò zhī mɑ́ á mɑ̀ ndʉ̄ɑ̀mò.
