Column1,French,Nufi
105, c'est le président de la république,Nsɑ̂'ngə̀' bɑ̌ 
106," ce n'est pas une femme, c'est un homme","Sī mʉ̀nzhwīē bɑ́ bɑ̄, mbâ' bɑ̌ "
107," ce n'est pas une pomme de terre, c'est un macabo","Sī njò'ndāk bɑ́ bɑ̄, ngòòmbōk bɑ̌ "
108," ce n'est pas moi qui ai volé, c'est Monthe, c'est lui.","Sī mʉ̀ bɑ̄ nzhʉ̀ɑ̀ bɑ̄, Mòōntʉ̀ɑ̀' bɑ̌, yʉ̄ɑ̄ bɑ̌ "
109," s'il est là, je ne viendrais pas","À bɑ̌ sīē, mɑ̀ ǹ sǐ' nsɑ́' bɑ̄ "
110, il faut que tu sois là,Yáá ncāk mɑ́ ó bɑ̄ sīē 
111, va au champ demain récolter (couper) la banane.,Bɑ̄ wāhà ngén kò ngwáá làt 
112, c'est lui qui a volé.,Yʉ̄ɑ̄ bɑ̄ nzhʉ̀ɑ̀ 
113, je n'ai pas pris,Ǹ kɑ̀' láh bɑ̄ 
114, ce n'est pas moi,Sī mʉ̀ bɑ́ bɑ̄ 
115," on ne me fait pas ça, on ne me manque pas du respect ainsi.",Pō sǐ' ngʉ́ mbú á fà'á bɑ̄ 
116, donne-moi cette assiette-là,Hɑ̄ kā' báá mbú à 
117, ce sac-là m'appartient,Pʉ̀ɑ̀ báá mɑ́ yǎ 
118, ce professeur est trop bavard,Nsìèsì báá njwá yə̄ə̄ 
119, celui-là,Yì bàá 
120, ceux-là,Zì bàá 
121, voilà l'enfant.,Mōō bàá 
122, Hé! Que fais-tu comme ça?,Báhà! Kɑ́ tɑ́ ǒ mɑ̀ngʉ́ fà'á ā ? 
123, fait encore,Bàt ngʉ́ 
124, parle encore,Bàt ngə́ə́ 
125, voici ta nourriture,Wúzɑ̄ ō bê 
126, cette eau n'est pas potable.,Nshì bê kɑ̀' pé' mbʉ́ɑ́ nū 
127, à qui appartient ce repas?,Wúzɑ̄ béé mɑ́ yǐ wɑ̄ 
128, cette eau n'est pas potable,Nshì béé kɑ̀' pé' mbʉ́ɑ́ nū 
129," ceci, celui-ci",Yì béè 
130, ceux-ci,Zì béè 
131, son argent,Nkɑ̄ɑ̄ bì 
132, son légume,Njɑ̀ɑ̀ bì 
133, sa viande,Mbɑ̀ɑ̀ bì 
134," sa clôture, sa barrière",Kɑ̀ɑ̀ bì 
135, son filtre,Cɑ̄ɑ̄ bì 
136," son crochet, sa fourche",Ngɔ̀ bì 
137, son gorille,Pū'nkɔ̀ bì 
138, son testicule.,Lɔ̀ bì 
139, ces noix de palme sont pourries,Nzʉ̄ bî lǐ pìè 
140, l'abeille l'a piqué,Ŋwɑ́' sɔ̀ bī 
141, son enfant l'a insulté,Mēn ǐ cɑ̀ɑ̀ bī 
142," on l'a honoré, on l'a salué",Pó lɑ̀ɑ̀ bī 
143," va le calmer, va le conforter, il pleure.","Ghèn mbə̄ə̄ bī, ǎ kòngé' "
144, on l'a tapé,Pó zàb ī 
145, À qui appartient cette nourriture-là?,Wúzɑ̄ bíí mɑ́ yǐ wɑ̄ ? 
146, celui-là,Yì bíì 
147, ceux-là,Zì bíì 
148, ton argent,Nkɑ̄ɑ̄ bò 
149, ton légume,Njɑ̀ɑ̀ bò 
150, ta viande,Mbɑ̀ɑ̀ bò 
151," ta clôture, ta barrière",Kɑ̀ɑ̀ bò 
152, ton filtre,Cɑ̄ɑ̄ bò 
153," ton crochet, ta fourche",Ngɔ̀ bò 
154, ton gorille,Pū'nkɔ̀ bò 
155, ton testicule.,Lɔ̀ bò 
156, la poule dont nous parlions,Ngāp bô 
157," ce, celui dont nous parlions",Yì bô 
158, la poule dont nous parlions,Ngāp wû 
159," ce, celui dont nous parlions.",Yì wû 
160, Qui t'a insulté?,Wɑ̄ bɑ̄ ncɑ̀ɑ̀ bō ō ? 
161, il t'a bien paré.,Ǎ còh nníɑ́ɑ́ bō 
162, il a piétiné mon pied.,Ǎ cá' khù ā 
163, se réconcilier,Nhɑ́ɑ́ hǔ cǎ'lə̀ə̀ 
164, joie.,Cà'sì 
165, les originaires de Dschang.,Pɑ̌Cà' 
166," guenilles, vieux vêtements, chiffon.",Cǎ'ndhī
167, vieille chaussure,Cǎ' ncāt 
168, vieille voiture,Cǎ' ndʉ̄' 
169," vieux vêtement, haillon, pagne en loques, chiffon, guenille",Cǎ'ndhī 
170, un maigre régime de plantains.,Cǎ' kwèlè' 
171, piétiner plusieurs fois,Ncā'sī 
172," allons rendre visite à Tòókò, malade",Pɑ̀h ghén ncɑ́'(sī) Tòókò ghòò 
173, mon grand-père est allé visiter les pièges.,Mbɑ̄' ō ndāmɑ̌ ghěn cɑ̌' zhʉ̀ɑ̀' 
174," j'ai fouillé les avocats en vain, mais je n'ai rien trouvé.","Ngɑ̌ cɑ̌' shʉ́ɑ́ndāk kīkēē, ń dɑ̀ ghóó sə̌wū "
175," la terre, le monde, le globe terrestre","Sīècɑ̄', sīècɑ̌' "
176, la couleur marron.,Lěncɑ̄' 
177, la matière avec laquelle le corps humain est faite,Cɑ́'nā 
178, Ce garçon a insulté son père!,Sòm lɑ́ cɑ̀ɑ̀ zǐ mbɑ̄' ā! 
179, il a filtré le vin de raphia avant de boire,Ǎ cɑ́ɑ́ ndǔ'nkhʉ̄ɑ̄ tɑ̄ nnū 
180," remède, potion qui guéri à coup sûr",Cɑ́ɑ́hù 
181, cet enfant a été élevé grassement.,Pó cɑ̄ɑ̄ mōō lɑ́ mbə̀pə̄' 
182, mon fils a aménagé une forêt.,Mēn ǎ cɑ́ɑ́ tàm 
183," l'injure n'est pas bien, ce n'est pas bien d'insulter",Cɑ̀ɑ̄nshù kɑ̀' pé' 
184," côté sud, en bas",Cáb ndàk 
185, partie d'en haut.,"Cáb thʉ̄, cáb kè' "
186," plusieurs fois, à plusieurs reprises.",Ncáb ncāb 
187, jurer au lieu sacré.,Mmɑ́' càb 
188," parler doucement dans l'oreille de quelqu'un en publique, s'en s'éloigner de la masse",Ntīē càb 
189," allons-nous tenir en aparté, à l'écart du publique",Sɑ̌' pɑ́h ó ghén ntēn càb 
190, on ne dévoile pas un secret,Pō sǐ' nsōk càb bɑ̄ 
191, on ne refuse pas de s'entretenir en aparté sans connaitre la raison de l'entretien,Wèn sǐ' nkhʉ́ɑ́ càb sì yū' bɑ̄ 
192, la voiture l'a cogné,Ndʉ́' càb ī 
193, boxer.,Tō 
194, sa marchandise n'a pas trouvé d'acheteur,Wúntēē zǐ càb 
195, le maïs est bon prix au marché,Ngòfát ntēē ncáb 
196," cette fille n'a pas trouvé de mari, et donc continue à vivre au domicile parental.",Ngòò lɑ́ cǎb ndʉ̄ɑ̄ 
197, égrène le maïs.,Cǎb ngòfāt 
198, tiens ma main,Cāb pō ā 
199, tiens moi,Cāb ā 
200, ne tiens pas mon habit,Ǒ sì cāb ndhī à 
201, freine le véhicule.,Cāb khǔ ndʉ̄' lɑ́ 
202, entretiens bien ton cahier.,Cāb pú'ncə̀ə̀ zǒ mbə̀pə̄' 
203, cinq fois,Cāb tî 
204, 2x4 =8,Pʉ́ɑ́ ncāb kwɑ̌ mɑ̀nhɑ̄ hə̀ə̄ 
205, égrène le maïs,Càbɑ̌ ngòfāt 
206, Dans quel quartier résides-tu?,Ǒ nsī mɑ̀ nɑ́ yǎ cábkò ò ? 
207, allez ensemble.,Pèn shʉ́ɑ́ cābnshʉ̀' 
208, allez ensemble.,Pèn shʉ́ɑ́ cābshʉ̀' 
209, s'entretenir familièrement et longuement.,Ncábsí ghə̀ə̀ 
210," il vit en pleine forêt, en plein milieu de la forêt",Ǎ nsī mɑ̀ càh tàp 
211, c'est au milieu de l'eau,Yáá càh nshì 
212, minuit,Càhsū' 
213, tiens-toi droit,Tēn càh 
214," l'enfant s'est tenu debout, droitement",Móó tēn càhcàh 
215, marche droitement.,Nǎk càhcàh 
216, j'ai déjà envoyé,Ngɑ̌ yá' càh 
217, on a envoyé mon habit.,Pó cǎh kòm à 
218, j'ai été accompagné le visiteur.,Ngɑ̌ fhʉ́ cǎh ngèn 
219," cet homme est très gauche, il danse très mal",Mbā' lɑ́ ncáh tɑ̀' 
220, grimace.,Càhsì 
221, mon estomac est petit.,Càh zǎ kóh 
222, on a barré la route,Pó cāh nzhì 
223, la place était tellement bondée,Zʉ̀' lɑ̀cǎh tɑ̀' 
224, enferme ces poules au poulailler.,Cāh ngāp lɑ́ pù' 
225, le paresseux dit toujours qu'il est occupé.,Nkhʉ̀ɑ̀ mfɑ̌' ndēn sì' mɑ́ á cāh 
226, tiens-toi droit,Tēn càhcàh 
228, marche droitement,Nǎk càhcàh 
229, je vais en ville,Ngɑ̌ ngén mɑ̀ càhlɑ̄' 
230, un sourd n'entend pas bien,Cáhntōk sǐ' ncóh njū' nù bɑ̄ 
231, je n'ai encore publié aucun livre depuis deux ans,"Fhʉ̄ ngù' pʉ́ɑ́, ǹ jǎt sì cǎh sə̌ ŋwɑ̀'nǐ nzɑ̄ "
232, il faut venir à l'hôpital demain à jeun.,Cāhnzhìè tɑ̀ nsɑ́' ndʉ̄ɑ̀kà' wāhà 
233, je viendrais demain s'il n'y a aucun obstacle,"Sə̀ə̄ cāhsì sǐ' mbɑ̄ sīē bɑ̄, mɑ̀ ngɑ̌ nsɑ́' wāhà "
234, on a barré la route,Pó cāhsī nzhì 
235, la place était tellement bondée.,Zʉ̀' lɑ̀cǎhsí tɑ̀' 
236, le paresseux dit toujours qu'il est occupé.,Nkhʉ̀ɑ̀ mfɑ̌' ndēn sì' mɑ́ á cāhsī 
237, on ne se balade pas en plein milieu de la nuit,Pō sǐ' nnák càhsū' bɑ̄ 
238," tu as cherché des problèmes, on t'a tapé","Ǒ cák ncà', pō zāb ō "
239," à force de chercher, il a fini par trouver.",Ǎ cák sì' cāk tɑ̀ nhóó 
240, va laver la marmite.,Ghèn nsóh càk 
241, fais paître (attache) les chèvres.,Cǎk mvī 
242, qui a les fesses relevées,Cǎk tèn 
243, qui a un bras coupé (dont pend le moignon).,"Kʉ̀cák pō, cǎk pō "
244, cherche tes chaussures.,Cāk ncālɑ̀ mō 
245, on tamise la farine de manioc à l'aide du tamis.,Pó ndáh càkàlà nshʉ́' vʉ́ nshʉ̀ɑ̀sə̀b 
246, je suis chercheur en linguistique,Ngɑ̌ ngʉ́ cákngǎ' nɑ́ ghə̌lɑ̄' 
247, un chercheur,Ncâkngà' 
248," un expert chercheur, un docteur, titulaire d'un doctorat.","Shʉ̀ɑ̀yɑ́' ncâkngà', en abrégé shʉ̀ɑ̀ncâk "
249," attacher, cramponner.",Càk 
251," côté sud, en bas",Cám ndàk 
252, partie d'en haut.,"Cám thʉ̄, cám kè' "
253," plusieurs fois, à plusieurs reprises.",Ncám ncām 
254, jurer au lieu sacré.,Mmɑ́' càm 
255," parler doucement dans l'oreille de quelqu'un en publique, s'en s'éloigner de la masse",Ntīē càm 
256," allons-nous tenir en aparté, à l'écart du publique",Sɑ̌' pɑ́h ó ghén ntēn càm 
257, on ne dévoile pas un secret,Pō sǐ' nsōk càm bɑ̄ 
258, on ne refuse pas de s'entretenir en aparté sans connaitre la raison de l'entretien,Wèn sǐ' nkhʉ́ɑ́ càm sì yū' bɑ̄ 
259, la voiture l'a cogné,Ndʉ́' càm ī 
261, sa marchandise n'a pas trouvé d'acheteur,Wúntēē zǐ càm 
262, le maïs est bon prix au marché.,Ngòfát ntēē ncám 
263, égrène le maïs.,Cǎm ngòfāt 
264, cinq fois,Cām tî 
265, 2x4 =8,Pʉ́ɑ́ ncām kwɑ̌ mɑ̀nhɑ̄ hə̀ə̄ 
266, Dans quel quartier résides-tu ?.,Ǒ nsī mɑ̀ nɑ́ yǎ cámkò ò ? 
267," pó nhɑ̄ nkó' mbú ì yə̄ə̄, il/elle est très choyé",Ǎ nkò' pɑ́' Cǎmnkām lɑ́ 
268, il a trahi le secret d'état.,Ǎ fěn cǎmngə̀' 
269, il a trahi le secret d'état.,Ǎ fěn cǎmngwè' 
270, allez ensemble.,Pèn shʉ́ɑ́ cāmnshʉ̀' 
271, allez ensemble.,Pèn shʉ́ɑ́ cāmshʉ̀' 
272, s'entretenir familièrement et longuement.,Ncámsí ghə̀ə̀ 
273, va à l'hôpital le matin à jeun,Càmsǐ nzhìè fɑ̌hnzɑ̄ tɑ̄ ngén ndʉ̄ɑ̀kà' 
274, j'ai tenu la main de son enfant.,Ngɑ̌ cáp pó mēn ì 
275, freine le véhicule.,Cāp khǔ ndʉ̄' lɑ́ 
276, entretiens bien ton cahier.,Cāp pú'ncə̀ə̀ zǒ mbə̀pə̄' 
277, Dans quel quartier résides-tu?,Ǒ nsī mɑ̀ nɑ́ yǎ cápkò ò ? 
278, abstiens-toi,Cāpnā ò 
279, nous avons bien célébré son anniversaire.,Pɑ̌h còhsì ncá'sí líé'zī ì 
280," noce, cérémonie de mariage",Cǎ'sǐlə́ə́ndʉ̄ɑ̄ 
281, fête d'anniversaire,Cà'sǐ líé'zī 
282, bonne fête de la jeunesse,Mbè'mbè' cà'sǐ ngwēèwèn 
283, fête de nouvel an,Cà'sǐ ngù'fī 
284, bonne fête des mères,Mbə̀'mbə̀' cà'sǐ pɑ̀mɑ̄ 
285, fête des femmes,Cà'sǐ pʉ̌nzhwīē 
286, bonne fête des pères à toi mon père,Mbè'mbè' cà'sǐ pɑ̀mbɑ́' mbú ó lɑ́ mbɑ̄' ō 
287, bonne fête de l'unité nationale,Mbè'mbè' cà'sǐ kwèēngwè' 
288," bonne fête de St Valentin à vous, fête des amoureux à vous",Mbè'mbè' cà'sǐ nkwè'nǐ mbí pèn lɑ́ 
289, fête de l'indépendance,Cà'sǐ dìpʉ̀ɑ̀
290, bonne fête de travail,Mbè'mbè' cà'sǐ mfɑ̀' 
291, fête des récoltes.,Cà'sǐ téhzú kò 
292, nous sommes dans la joie,Pɑ̌h tə̌' cà'sì 
293," je te salue, salut!",Ngɑ̌ cɑ̀'sì ō lɑ́ 
294, salue-moi,Cɑ̀'sì ā lɑ́
295, viens me saluer,Sɑ̀' ncɑ́'sí ā 
296," (c'est un proverbe) sans visite, la famille disparaît",Ndʉ̄ɑ̄ sì cɑ̀'sì lɑ̀píé 
297, assistance physique au lieu d'un deuil dans le but de compatir avec le concerné.,Cɑ̀'sǐ wūɑ̄ 
298, accroche ce sac,Cǎt pʉ̀ɑ̀ lɑ́ thʉ̄ 
299, accroche ton sac à la hauteur de ta main,Cǎt pʉ̀ɑ̀ ó nɑ́ zʉ̀' yì pō ó ìnkwēn nā lɑ́ 
300, elle asperge les graines de légumes sur les billons,Ǎ mɑ̀ncát ntə́ə́ njɑ̀ɑ́ nɑ́ nʉ̀ɑ̀ 
301, asperges-y de l'eau,Cǎt nshǐ ná 
302, il a aspergé la terre sur moi,Ǎ cǎt cɑ́' nɑ́ à 
303, la voiture a aspergé de l'eau sur mon habit,Ndʉ́' cǎt nshǐ nɑ́ ndhī à 
304, le prêtre asperge de l'eau sur les fidèles,Nkâmsíé mɑ̀ncátsí nshǐ nɑ́ pɑ̀mbénsīē 
305, le prêtre asperge les fidèles,"Nkâmsíé (""Fālǎ"") mɑ̀ncátsí nshǐ nɑ́ pɑ̀mbénsīē "
306, arrose ces fleurs,Càtsǐ nshǐ nɑ́ nsə̀ə̀ lɑ́ 
307, il a aspergé la terre sur moi,Ǎ càtsǐ cɑ́' nɑ́ à 
308, la voiture a arrosé mon habit.,Ndʉ́' càtsǐ nshǐ nɑ́ ndhī à 
309, il a cassé l'assiette.,Ǎ cát kā' 
310, sa barbe a poussé,Nǒktěnshù í cát 
311, les herbes ont couvert la devanture de la maison.,Mvēnɑ̌ cát nshùndʉ̄ɑ̄ 
312, tu es très velu.,Ǒ cátnòk yə̄ə̄ 
313, ancien genre de parapluie sans manche que l'on portait sur la tête,Kə̀kōp
314, sorte de parapluie qu'on portait au dos pour se protéger contre la pluie,Ngàtnì 
315, c'est toi mon bouclier.,Wò bɑ́ yà cátncò 
316, barre la voie à ce porc pour l'empêcher de passer,"Cātsī ngʉ̄nə̀ə̀ lɑ́, á pɑ́' ntōh "
317, l'arbre est tombé et obstrue la route,Thʉ́ wùɑ̀ ncātsī mēnzhì 
318, on lui a donné du poison.,Pó hɑ̄ cɔ̌ mbú ì 
319, main gauche,Pō cɔ̀ 
320, côté gauche,Pàhcɔ̀ 
321, la civette.,"Cɔ̀, cɔ̀nə̀ə̀ "
322, tachete ce papier,Cɔ̀sǐ ncə̀ə̀ lɑ́ 
323, la civette,Cɔ̀nə̀ə̀ 
324, tacheté,Ncɔ̌ncɔ̀ 
325, Quelles sont les nouvelles ? Comment vas-tu?,Cə̀' mɑ́ kɑ́ ? 
326, ils conversent.,Pó kònsōk cə̀' 
327, je ne connais pas l'histoire de mes ancêtre,Ǹ kɑ̀' zhī zǎ cə̀' pɑ̀mfhʉ́sīē zǎ 
328," cette femme est une poète, cette femme est une conteuse.",Mʉ̀nzhwīē lɑ́ mɑ́ tɑ̀' nsôkcə̀' 
329, Qui a prélevé une petite quantité sur ma nourriture?,Wɑ̄ bɑ̄ ncə̌' wúzɑ̄ ā ? 
330, griffer.,Ncə́'nkàp 
331, le vol provient de la paresse.,Cə́' mfhʉ̄ mɑ̀ nɑ́ lə̄' 
332, anniversaire,Líé'cə̂bsì 
333, anniversaire de naissance,Cə̂bsǐlíé'zī 
334, anniversaire,Líé'cə̄bsì 
336," si demain tu deviens riche et célèbre, souviens-toi de moi","Ò zhìé nə̀ə̀wàànkhʉ̀ wāhà, ò cə̄bsī ā mbɑ̀ "
337, la situation est restée inchangée malgré nos déplorations,"Pɑ̌h cə́ə́ yǒh, yáá lɑ̀ cōp sə̌wū "
338, ne t'en fais pas trop,Cə̄ə̄ ncāp = ǒ sì cə̄ə̄ mɑ́ tɑ̀' 
339, ne t'attarde pas aux lamentations,Cə̄ə̄ ngwāh 
340," aie pitié de moi, déplore mon sort.",Cə̄ə̄ nzèn mā 
341, ce délinquant ne regrette pas ses agissements.,Mvâ'nkà' lɑ́ kɑ̀' cə̄ə̄ zǐ ngʉ̌nù sìpè' mī 
342, je l'ai appelé il n'a pas répondu.,"Ngɑ̌ céh í, ǎ lɑ̀ pēn "
343, Comment appelle-t-on cette chose?,Pó ncēh béé wū lè mɑ́ kɑ́ ? 
344, l'héritier a convoqué la réunion,Nzɑ̂ndʉ́ɑ́ cēh kòm 
345, lettre d'invitation.,Ŋwɑ̀'nǐ cēh 
346, va commander à boire,Ghèn ncēh ndù' 
347, Qu'as-tu commandé?,Ǒ céh kɑ́ ? 
348, j'ai passé la commande du poisson braisé avec du piment,Ngɑ̌ céh tòō mbɑ̀ɑ̄nshì pí sōh 
349," cette fille est très arrogante, elle passe la commande de ses vêtements toujours au pays des Blanc","Ngòò lɑ́ mfīāt tɑ̀', ǎ ncēh ndhī zǐ sǐ' lɑ́' pɑ̀ndāk "
350, commissionner.,Wēn 
351, D'où vient cet appel.,Cêh lɑ́ mʉ̀mfhʉ̄ mɑ̀ hɑ̄ ? 
352, Comment épeler mʉ̀nzhwīē ,Cêh mʉ̀nzhwīē mɑ́ kɑ́ ? 
353, un homme stérile,Tɑ̀' cēn mbâ' 
354, femme stérile.,Cēn mʉ̀nzhwīē 
355, cet homme a poussé sa femme dehors.,Mbā' lɑ́ cēn nzhwīē ì mmɑ́' nzɑ̄ 
356, ma mère enlève les feuilles de légumes de la tige,Mɑ̄vǒ kòncēn njɑ̀ɑ̀ 
357, cet homme a poussé sa femme dehors.,Mbā' lɑ́ cēnsī nzhwīē ì mmɑ́' nzɑ̄ 
358, le piment m'étouffe,Sóh mɑ̀ncēnsī ā 
359, gémir,Ncēn 
360, le chef a envoyé une note.,Fə̌ cɛ̌h ŋwɑ̀'nì 
361," s'il te plait, accompagne moi dehors, j'ai peur.","Cīcō'ò, sɑ̀' ncέh lá nzɑ̄ lɑ́, ngɑ̌ mɑ̀mbōh "
362, le noyau se trouve au centre des fruits,Mbǎ' mbɑ̄ cìcàh ntə́ə́thʉ̄ 
363, viens t'asseoir entre nous,Sɑ̀' nsī cìcǎh pɑ̀h 
364," il y a une discorde entre eux, ils sont en mésintelligence.",Ncǎ' cìcǎh pō 
365, deviner,Nkɑ́' cícāt 
366, Devinette Devinette,"Cícātlɑ̄, Cícātlɑ̄ mbɑ̀ "
367, deux choses qui se ressemblent,Fōh pí fōh 
368," lìèndàk (dìèndàk) pí héékwè', nò' cìcò' pí pɔ̌hshʉ́ɑ́, nkə̀ə̄ cà' pí mbén mōō.",Réponses possibles
370, Devinette Devinette,"Cícātlɑ̄, cícātlɑ̄ mbɑ̀ "
374, femme stérile,Cēn mʉ̀nzhwīē 
375, la poule a éclos ses œufs.,Ngáp shìè 
